TagNumber,Make,Year,Expired,TicketProcessing,TicketAll,Insurance,Horsepower,Torque,Length,Width,Weight,EngineSize,ABS,BreakAssist,GPS,CompanyNumber
178-V8,雄獅曼,200612,無,0,0,有,305.7kw,188.6kg-m,1212,250,16.7,12816,有,引擎減速器,無,2430
180-V8,國瑞,200301,無,0,0,有,187.6kw(255.0ps),76.0kg-m,1184,245,14.0,7961,無,引擎排氣煞車,無,2430
186-V8,國瑞,201503,無,0,0,有,208.88kW(284PS),88kg-m,1220,250,16.0,7684,有,引擎排氣煞車,無,2430
187-V8,國瑞,201101,無,0,0,有,193.4kw(263.0ps),81.0kg-m,1220,250,16.0,7684,無,無,無,2430
203-KK,MITSUBISHI,200101,無,0,5,有,257.4kw(350ps),145kg-m,1220,250,17.0,11945,無,無,無,2430
220-BB,順益,200505,無,0,8,有,176.5kw(240ps),72kg-m,1175,250,14.8,7545,無,引擎排氣煞車,無,2430
253-TT,斯堪尼亞,201107,無,0,2,有,228.0kW,158.1kg-m,1220,250,17.0,8867,有,引擎排氣煞車,無,2430
259-KK,成運,200509,無,0,5,有,279.5kw(380PS),166kg-m,1220,250,17.0,10800,無,引擎減速器,無,2430
563-DD,MITSUBISHI,199902,無,0,6,有,108.1kw(147ps),38kg-m,699,201,5.5,3907,無,無,無,2430
623-NN,順益,200801,無,0,8,有,204.5kw(278ps),82kg-m,1205,250,15.5,7545,無,引擎排氣煞車,有,2430
632-SS,斯堪尼亞,201101,無,0,15,有,279.0kW,193.8kg-m,1220,250,17.0,11705,有,引擎排氣煞車,無,2430
668-XX,斯堪尼亞,201206,無,0,3,有,279.0kW,193.8kg-m,1220,250,17.0,11705,有,引擎排氣煞車,無,2430
711-UU,國瑞,200206,無,3,10,有,187.6kw(255.0ps),76.0kg-m,1180,245,14.0,7961,無,引擎排氣煞車,無,2430
738-SS,百盛,201009,無,0,5,有,287kw,166kg-m,1219,250,17.0,10800,有,無,無,2430
817-EE,國瑞,200908,無,0,19,有,193.4kw(263.0ps),81.0kg-m,1220,250,16.0,7684,無,無,有,2430
840-MM,順益,200610,無,0,6,有,257.4kw(350ps),145kg-m,1220,250,17.0,11945,無,引擎排氣煞車,有,2430
861-FF,國瑞,200407,無,0,15,有,187.6kw(255.0ps),76.0kg-m,1188,250,14.0,7961,無,引擎排氣煞車,無,2430
918-FF,成運,200409,無,0,17,有,279.5kw(380PS),166kg-m,1220,250,17.0,10800,無,引擎減速器,無,2430
977-EE,斯堪尼亞,201008,無,0,3,有,279.0kW,193.8kg-m,1220,250,17.0,11705,有,引擎排氣煞車,有,2430
9U-416,MITSUBISHI,199905,無,0,2,有,無資料,無資料,1210,248,16.5,11149,無,無,無,2430
KAD-302,斯堪尼亞,201510,無,0,3,有,298.4kW(400HP),214.2kg-m,1220,250,17.0,12740,有,引擎排氣煞車,無,2430
Y3-969,VOLVO,200110,無,0,7,有,287kw,200.4kg-m,1219,250,17.0,12130,有,引擎排氣煞車,無,2430
022-NN,TOYOTA,200704,無,0,2,有,110.0kw,40.5kg-m,699,203,5.29,4009,無,引擎排氣煞車,無,2431
029-NN,TOYOTA,200706,無,0,0,有,110.0kw,40.5kg-m,699,203,5.29,4009,無,引擎排氣煞車,無,2431
033-GG,TOYOTA,200501,無,0,3,有,無資料,無資料,699,203,5.29,4104,無,無,無,2431
073-NN,TOYOTA,201007,無,0,1,有,110.0kw,40.5kg-m,699,204,5.44,4009,有,引擎排氣煞車,無,2431
078-NN,TOYOTA,201101,無,0,0,有,110.0kw,40.5kg-m,699,204,5.44,4009,有,引擎排氣煞車,無,2431
083-NN,TOYOTA,201106,無,0,1,有,110.0kw,40.5kg-m,699,204,5.44,4009,有,引擎排氣煞車,無,2431
217-V6,TOYOTA,201404,無,0,0,有,110kw,40.5kg-m,699,203,5.44,4009,有,引擎排氣煞車,無,2431
218-V6,TOYOTA,201404,無,0,2,有,110kw,40.5kg-m,699,203,5.44,4009,有,引擎排氣煞車,無,2431
338-JJ,MITSUBISHI,200604,無,0,3,有,108.1kw(147ps),38kg-m,699,201,5.7,3907,無,無,無,2431
966-EE,TOYOTA,200503,無,0,1,有,無資料,無資料,699,202,5.29,4104,無,無,無,2431
GG-822,TOYOTA,199901,無,0,1,有,無資料,無資料,699,202,5.29,4104,無,無,無,2431
KAE-807,TOYOTA,201604,無,0,0,有,110kW/2700rpm,405123.6kg-m,699,203,5.44,4009,有,引擎排氣煞車,無,2431
015-V6,斯堪尼亞,201308,無,0,2,有,294.0kW,214.2kg-m,1220,250,17.0,12740,有,引擎排氣煞車,無,2434
046-V6,順益,200404,無,0,1,有,257.4kw(350ps),145kg-m,1220,250,17.0,11945,無,引擎排氣煞車,無,2434
078-V6,順益,200402,無,1,3,有,257.4kw(350ps),145kg-m,1220,250,17.0,11945,無,引擎排氣煞車,無,2434
089-V6,成運,200709,無,0,5,有,279.0KW,193.7kg-m,1220,250,17.0,11705,有,引擎排氣煞車,無,2434
092-V6,國瑞,201506,無,0,3,有,無資料,無資料,1220,250,16.0,7684,無,無,無,2434
099-V6,順益,201507,無,0,0,有,無資料,無資料,1220,250,15.5,7545,無,無,無,2434
100-V6,順益,201507,無,0,2,有,無資料,無資料,1220,250,15.5,7545,無,無,無,2434
125-V6,順益,201606,無,0,2,有,199kW,80kg-m,1220,250,16.1,7545,有,引擎排氣煞車,無,2434
126-V6,順益,201606,無,0,0,有,199kW,80kg-m,1220,250,16.1,7545,有,引擎排氣煞車,無,2434
128-FF,SCANIA,200209,無,0,12,有,250.0kW,163.2kg-m,1220,248,17.0,10640,無,引擎減速器,無,2434
178-SS,國瑞,201105,無,0,7,有,193.4kw(263.0ps),81.0kg-m,1220,250,16.0,7684,無,無,無,2434
227-HH,國瑞,200509,無,0,7,有,220.6kw(300.0ps),110.0kg-m,1220,250,16.5,10520,無,無,無,2434
229-HH,國瑞,200511,無,0,4,有,220.6kw(300.0ps),110.0kg-m,1220,250,16.5,10520,無,無,無,2434
230-HH,國瑞,200511,無,0,7,有,220.6kw(300.0ps),110.0kg-m,1220,250,16.5,10520,無,無,有,2434
251-SS,雄獅曼,200612,無,0,42,有,305.7kw,188.6kg-m,1212,250,16.7,12816,有,引擎減速器,無,2434
419-FF,VOLVO,200207,無,1,11,有,287kw,200.4kg-m,1219,250,17.0,12130,有,引擎排氣煞車,無,2434
521-MM,順益,200610,無,0,11,有,257.4kw(350ps),145kg-m,1220,250,17.0,11945,無,引擎排氣煞車,無,2434
530-AA,福方,200407,無,0,17,有,250.0kW,163.2kg-m,1220,249,17.0,10640,無,引擎減速器,無,2434
578-VV,國瑞,201212,無,0,4,有,193.4kw(263.0ps),81.0kg-m,1220,250,16.0,7684,無,無,無,2434
599-NN,成運,200611,無,0,9,有,250.0KW,191.5kg-m,1218,250,17.0,10640,無,引擎排氣煞車,無,2434
